"","Pr_Hyp1","Pr_Hyp2","Pr_Sig1","Pr_Sig2","Pr_Linear"
"Pr_Hyp1",0,0.0163853263653382,0.102141776215928,0.143208841108364,0.12735504216143
"Pr_Hyp2",0.0285398801456442,0,0.0555793349707204,0.0924036327830755,0.0779307197023408
"Pr_Sig1",0.292831585059392,0.149219782581939,0,0.0142101679993563,0.00589766660680002
"Pr_Sig2",0.29404051704373,0.190298242212887,0.0144932285623373,0,0.00196006760652878
"Pr_Linear",0.215696387430241,0.109648460356079,0.00324801921906237,0.00108755258853266,0
