"","Pr_Hyp1","Pr_Hyp2","Pr_Sig1","Pr_Sig2","Pr_Linear"
"Pr_Hyp1",0.793478603908099,0.777093277542761,0.691336827692172,0.650269762799736,0.666123561746669
"Pr_Hyp2",0.708679963844708,0.737219843990353,0.681640509019632,0.644816211207277,0.659289124288012
"Pr_Sig1",0.355826995990556,0.49943879846801,0.648658581049948,0.634448413050592,0.642760914443148
"Pr_Sig2",0.30179041899555,0.405532693826393,0.581337707476943,0.59583093603928,0.593870868432751
"Pr_Linear",0.365605356762456,0.471653283836618,0.578053724973635,0.580214191604165,0.581301744192697
