"","Pr_Hyp1","Pr_Hyp2","Pr_Sig1","Pr_Sig2","Pr_Linear"
"Pr_Hyp1",0,0.0318066347874999,0.184245442339135,0.115704261406821,0.121716369106561
"Pr_Hyp2",0.0358681539810741,0,0.0821832937466487,0.0339131970839963,0.0377110995178601
"Pr_Sig1",0.0373632301982042,0.0204372879099127,0,0.00402573281577362,0.00335635267815521
"Pr_Sig2",0.00843365353117204,0.00313193149901861,0.00199529301372717,0,1.50043539499101e-05
"Pr_Linear",0.0294021991209422,0.0105823406292496,0.00394233640952152,3.91033671649499e-05,0
