"","Pr_Hyp1","Pr_Hyp2","Pr_Sig1","Pr_Sig2","Pr_Linear"
"Pr_Hyp1",0.680221084528931,0.648414449741431,0.495975642189797,0.56451682312211,0.55850471542237
"Pr_Hyp2",0.503891151635998,0.539759305617072,0.457576011870424,0.505846108533076,0.502048206099212
"Pr_Sig1",0.223192931325928,0.240118873614219,0.260556161524132,0.256530428708359,0.257199808845977
"Pr_Sig2",0.208543832809059,0.213845554841212,0.214982193326504,0.216977486340231,0.216962481986281
"Pr_Linear",0.233594001352985,0.252413859844678,0.259053864064406,0.262957097106762,0.262996200473927
